"","X","Langs","region","dataType","value"
"1",1,"Only English",6001,"speakers",817782
"2",2,"Spanish",6001,"speakers",241150
"3",3,"French",6001,"speakers",6915
"4",4,"Patois",6001,"speakers",145
"5",5,"French Creole",6001,"speakers",271
"6",6,"Italian",6001,"speakers",2785
"7",7,"Portuguese",6001,"speakers",6310
"8",8,"German",6001,"speakers",4910
"9",9,"Yiddish",6001,"speakers",151
"10",10,"Dutch",6001,"speakers",1005
"11",11,"Afrikaans",6001,"speakers",140
"12",12,"Swedish",6001,"speakers",450
"13",13,"Danish",6001,"speakers",270
"14",14,"Norwegian",6001,"speakers",370
"15",15,"Icelandic",6001,"speakers",40
"16",16,"Greek",6001,"speakers",1433
"17",17,"Russian",6001,"speakers",4048
"18",18,"Polish",6001,"speakers",949
"19",19,"Serbocroatian",6001,"speakers",780
"20",20,"Croatian",6001,"speakers",500
"21",21,"Serbian",6001,"speakers",290
"22",22,"Ukrainian",6001,"speakers",235
"23",23,"Czech",6001,"speakers",320
"24",24,"Slovak",6001,"speakers",120
"25",25,"Bulgarian",6001,"speakers",180
"26",26,"Armenian",6001,"speakers",1030
"27",27,"Persian",6001,"speakers",11431
"28",28,"Hindi",6001,"speakers",26535
"29",29,"Gujarati",6001,"speakers",6288
"30",30,"Urdu",6001,"speakers",3980
"31",31,"India nec3",6001,"speakers",455
"32",32,"Bengali",6001,"speakers",2050
"33",33,"Panjabi",6001,"speakers",11255
"34",34,"Marathi",6001,"speakers",2345
"35",35,"Kashmiri",6001,"speakers",55
"36",36,"Nepali",6001,"speakers",1470
"37",37,"Sindhi",6001,"speakers",240
"38",38,"Pakistan nec3",6001,"speakers",180
"39",39,"Sinhalese",6001,"speakers",175
"40",40,"Romany",6001,"speakers",40
"41",41,"Krio",6001,"speakers",55
"42",42,"Catalonian",6001,"speakers",50
"43",43,"Romanian",6001,"speakers",1075
"44",44,"Irish Gaelic",6001,"speakers",180
"45",45,"Albanian",6001,"speakers",65
"46",46,"Lithuanian",6001,"speakers",80
"47",47,"Latvian",6001,"speakers",250
"48",48,"Pashto",6001,"speakers",1040
"49",49,"Kurdish",6001,"speakers",40
"50",50,"Chinese",6001,"speakers",69165
"51",51,"Hakka",6001,"speakers",45
"52",52,"Cantonese",6001,"speakers",31050
"53",53,"Mandarin",6001,"speakers",17450
"54",54,"Formosan",6001,"speakers",1915
"55",55,"Wu",6001,"speakers",135
"56",56,"Japanese",6001,"speakers",6476
"57",57,"Korean",6001,"speakers",13597
"58",58,"Mon-Khmer, Cambodian",6001,"speakers",3481
"59",59,"Hmong",6001,"speakers",552
"60",60,"Thai",6001,"speakers",1842
"61",61,"Laotian",6001,"speakers",1467
"62",62,"Vietnamese",6001,"speakers",26130
"63",63,"Uighur",6001,"speakers",110
"64",64,"Turkish",6001,"speakers",625
"65",65,"Mongolian",6001,"speakers",495
"66",66,"Dravidian",6001,"speakers",60
"67",67,"Gondi",6001,"speakers",45
"68",68,"Telugu",6001,"speakers",6690
"69",69,"Kannada",6001,"speakers",1375
"70",70,"Malayalam",6001,"speakers",2145
"71",71,"Tamil",6001,"speakers",6800
"72",72,"Tibetan",6001,"speakers",690
"73",73,"Burmese",6001,"speakers",2890
"74",74,"Karen",6001,"speakers",110
"75",75,"Mien",6001,"speakers",1520
"76",76,"Tagalog",6001,"speakers",54672
"77",77,"Indonesian",6001,"speakers",1015
"78",78,"Malay",6001,"speakers",60
"79",79,"Bisayan",6001,"speakers",630
"80",80,"Sebuano",6001,"speakers",175
"81",81,"Pangasinan",6001,"speakers",115
"82",82,"Ilocano",6001,"speakers",1075
"83",83,"Pampangan",6001,"speakers",655
"84",84,"Chamorro",6001,"speakers",265
"85",85,"Palau",6001,"speakers",85
"86",86,"Polynesian",6001,"speakers",35
"87",87,"Samoan",6001,"speakers",1510
"88",88,"Tongan",6001,"speakers",1290
"89",89,"Fijian",6001,"speakers",430
"90",90,"Hawaiian",6001,"speakers",195
"91",91,"Navajo",6001,"speakers",144
"92",92,"Ottawa",6001,"speakers",35
"93",93,"Other Athapascan-Eyak",6001,"speakers",20
"94",94,"Tonkawa",6001,"speakers",15
"95",95,"Dakota",6001,"speakers",60
"96",96,"Choctaw",6001,"speakers",10
"97",97,"Cherokee",6001,"speakers",45
"98",98,"Pima",6001,"speakers",40
"99",99,"Hungarian",6001,"speakers",720
"100",100,"Arabic",6001,"speakers",6836
"101",101,"Hebrew",6001,"speakers",1253
"102",102,"Amharic",6001,"speakers",3460
"103",103,"Berber",6001,"speakers",140
"104",104,"Cushite",6001,"speakers",165
"105",105,"Swahili",6001,"speakers",955
"106",106,"Bantu",6001,"speakers",245
"107",107,"Mande",6001,"speakers",40
"108",108,"Fulani",6001,"speakers",70
"109",109,"Kru, Ibo, Yoruba",6001,"speakers",1355
"110",110,"Efik",6001,"speakers",75
"111",111,"Finnish",6001,"speakers",125
"112",112,"Syriac",6001,"speakers",95
"113",113,"Only English",6013,"speakers",666701
"114",114,"Spanish",6013,"speakers",176075
"115",115,"French",6013,"speakers",4235
"116",116,"French Creole",6013,"speakers",160
"117",117,"Italian",6013,"speakers",2395
"118",118,"Portuguese",6013,"speakers",3965
"119",119,"German",6013,"speakers",3875
"120",120,"Yiddish",6013,"speakers",24
"121",121,"Dutch",6013,"speakers",800
"122",122,"Afrikaans",6013,"speakers",215
"123",123,"Swedish",6013,"speakers",375
"124",124,"Danish",6013,"speakers",185
