"","Table","County"
"1",1,"Anchorage Municipality, AK"
"2",2,"Maricopa County, AZ"
"3",3,"Navajo County, AZ"
"4",4,"Pima County, AZ"
"5",5,"Alameda County, CA"
"6",6,"Contra Costa County, CA"
"7",7,"Fresno County, CA"
"8",8,"Kern County, CA"
"9",9,"Los Angeles County, CA"
"10",10,"Monterey County, CA"
"11",11,"Orange County, CA"
"12",12,"Placer County, CA"
"13",13,"Riverside County, CA"
"14",14,"Sacramento County, CA"
"15",15,"San Bernardino County, CA"
"16",16,"San Diego County, CA"
"17",17,"San Francisco County, CA"
"18",18,"San Joaquin County, CA"
"19",19,"San Mateo County, CA"
"20",20,"Santa Barbara County, CA"
"21",21,"Santa Clara County, CA"
"22",22,"Solano County, CA"
"23",23,"Sonoma County, CA"
"24",24,"Stanislaus County, CA"
"25",25,"Ventura County, CA"
"26",26,"Yolo County, CA"
"27",27,"Arapahoe County, CO"
"28",28,"Denver County, CO"
"29",29,"El Paso County, CO"
"30",30,"Fairfield County, CT"
"31",31,"Hartford County, CT"
"32",32,"New Haven County, CT"
"33",33,"New Castle County, DE"
"34",34,"District of Columbia, DC"
"35",35,"Broward County, FL"
"36",36,"Collier County, FL"
"37",37,"Duval County, FL"
"38",38,"Hillsborough County, FL"
"39",39,"Lee County, FL"
"40",40,"Miami-Dade County, FL"
"41",41,"Orange County, FL"
"42",42,"Palm Beach County, FL"
"43",43,"Pinellas County, FL"
"44",44,"Cobb County, GA"
"45",45,"DeKalb County, GA"
"46",46,"Fulton County, GA"
"47",47,"Gwinnett County, GA"
"48",48,"Hawaii County, HI"
"49",49,"Honolulu County, HI"
"50",50,"Maui County, HI"
"51",51,"Cook County, IL"
"52",52,"DuPage County, IL"
"53",53,"Kane County, IL"
"54",54,"Lake County, IL"
"55",55,"Will County, IL"
"56",56,"Marion County, IN"
"57",57,"Polk County, IA"
"58",58,"Johnson County, KS"
"59",59,"Jefferson County, KY"
"60",60,"Jefferson Parish, LA"
"61",61,"Anne Arundel County, MD"
"62",62,"Baltimore County, MD"
"63",63,"Howard County, MD"
"64",64,"Montgomery County, MD"
"65",65,"Prince George s County, MD"
"66",66,"Baltimore city, MD"
"67",67,"Bristol County, MA"
"68",68,"Essex County, MA"
"69",69,"Hampden County, MA"
"70",70,"Middlesex County, MA"
"71",71,"Norfolk County, MA"
"72",72,"Plymouth County, MA"
"73",73,"Suffolk County, MA"
"74",74,"Worcester County, MA"
"75",75,"Macomb County, MI"
"76",76,"Oakland County, MI"
"77",77,"Washtenaw County, MI"
"78",78,"Wayne County, MI"
"79",79,"Dakota County, MN"
"80",80,"Hennepin County, MN"
"81",81,"Ramsey County, MN"
"82",82,"St. Louis County, MO"
"83",83,"Clark County, NV"
"84",84,"Washoe County, NV"
"85",85,"Hillsborough County, NH"
"86",86,"Atlantic County, NJ"
"87",87,"Bergen County, NJ"
"88",88,"Burlington County, NJ"
"89",89,"Camden County, NJ"
"90",90,"Essex County, NJ"
"91",91,"Hudson County, NJ"
"92",92,"Mercer County, NJ"
"93",93,"Middlesex County, NJ"
"94",94,"Monmouth County, NJ"
"95",95,"Morris County, NJ"
"96",96,"Ocean County, NJ"
"97",97,"Passaic County, NJ"
"98",98,"Somerset County, NJ"
"99",99,"Union County, NJ"
"100",100,"Bernalillo County, NM"
"101",101,"San Juan County, NM"
"102",102,"Albany County, NY"
"103",103,"Bronx County, NY"
"104",104,"Erie County, NY"
"105",105,"Kings County, NY"
"106",106,"Monroe County, NY"
"107",107,"Nassau County, NY"
"108",108,"New York County, NY"
"109",109,"Onondaga County, NY"
"110",110,"Orange County, NY"
"111",111,"Queens County, NY"
"112",112,"Richmond County, NY"
"113",113,"Rockland County, NY"
"114",114,"Suffolk County, NY"
"115",115,"Westchester County, NY"
"116",116,"Guilford County, NC"
"117",117,"Mecklenburg County, NC"
"118",118,"Wake County, NC"
"119",119,"Cuyahoga County, OH"
"120",120,"Franklin County, OH"
"121",121,"Hamilton County, OH"
"122",122,"Oklahoma County, OK"
"123",123,"Multnomah County, OR"
"124",124,"Washington County, OR"
"125",125,"Allegheny County, PA"
"126",126,"Bucks County, PA"
"127",127,"Chester County, PA"
"128",128,"Delaware County, PA"
"129",129,"Lancaster County, PA"
"130",130,"Montgomery County, PA"
"131",131,"Philadelphia County, PA"
"132",132,"Providence County, RI"
"133",133,"Davidson County, TN"
"134",134,"Shelby County, TN"
"135",135,"Bexar County, TX"
"136",136,"Collin County, TX"
"137",137,"Dallas County, TX"
"138",138,"Denton County, TX"
"139",139,"Fort Bend County, TX"
"140",140,"Harris County, TX"
"141",141,"Tarrant County, TX"
"142",142,"Travis County, TX"
"143",143,"Salt Lake County, UT"
"144",144,"Arlington County, VA"
"145",145,"Fairfax County, VA"
"146",146,"Henrico County, VA"
"147",147,"Loudoun County, VA"
"148",148,"Prince William County, VA"
"149",149,"Virginia Beach city, VA"
"150",150,"Clark County, WA"
"151",151,"King County, WA"
"152",152,"Pierce County, WA"
"153",153,"Snohomish County, WA"
"154",154,"Dane County, WI"
"155",155,"Milwaukee County, WI"
