"","Langs","year","region","dataType","value"
"1","Only English",2013,"alabama","speakers",4261611
"2","Spanish",2013,"alabama","speakers",151385
"3","French",2013,"alabama","speakers",7195
"4","Patois",2013,"alabama","speakers",140
"5","Cajun",2013,"alabama","speakers",40
"6","French Creole",2013,"alabama","speakers",333
"7","Italian",2013,"alabama","speakers",1672
"8","Portuguese",2013,"alabama","speakers",1375
"9","German",2013,"alabama","speakers",10040
"10","Yiddish",2013,"alabama","speakers",18
"11","Dutch",2013,"alabama","speakers",725
"12","Afrikaans",2013,"alabama","speakers",170
"13","Swedish",2013,"alabama","speakers",125
"14","Danish",2013,"alabama","speakers",45
"15","Norwegian",2013,"alabama","speakers",90
"16","Icelandic",2013,"alabama","speakers",25
"17","Greek",2013,"alabama","speakers",918
"18","Russian",2013,"alabama","speakers",1325
"19","Polish",2013,"alabama","speakers",384
"20","Serbocroatian",2013,"alabama","speakers",170
"21","Croatian",2013,"alabama","speakers",195
"22","Serbian",2013,"alabama","speakers",100
"23","Ukrainian",2013,"alabama","speakers",55
"24","Czech",2013,"alabama","speakers",310
"25","Bulgarian",2013,"alabama","speakers",95
"26","Macedonian",2013,"alabama","speakers",95
"27","Armenian",2013,"alabama","speakers",50
"28","Persian",2013,"alabama","speakers",1010
"29","Hindi",2013,"alabama","speakers",3236
"30","Gujarati",2013,"alabama","speakers",2630
"31","Urdu",2013,"alabama","speakers",1306
"32","India nec3",2013,"alabama","speakers",860
"33","Bengali",2013,"alabama","speakers",895
"34","Panjabi",2013,"alabama","speakers",435
"35","Marathi",2013,"alabama","speakers",190
"36","Kashmiri",2013,"alabama","speakers",115
"37","Nepali",2013,"alabama","speakers",555
"38","Sinhalese",2013,"alabama","speakers",120
"39","Jamaican Creole",2013,"alabama","speakers",65
"40","Romanian",2013,"alabama","speakers",460
"41","Irish Gaelic",2013,"alabama","speakers",90
"42","Albanian",2013,"alabama","speakers",95
"43","Latvian",2013,"alabama","speakers",80
"44","Pashto",2013,"alabama","speakers",45
"45","Chinese",2013,"alabama","speakers",7405
"46","Cantonese",2013,"alabama","speakers",195
"47","Mandarin",2013,"alabama","speakers",1625
"48","Formosan",2013,"alabama","speakers",235
"49","Japanese",2013,"alabama","speakers",1814
"50","Korean",2013,"alabama","speakers",7475
"51","Mon-Khmer, Cambodian",2013,"alabama","speakers",887
"52","Hmong",2013,"alabama","speakers",208
"53","Thai",2013,"alabama","speakers",828
"54","Laotian",2013,"alabama","speakers",935
"55","Vietnamese",2013,"alabama","speakers",6839
"56","Turkish",2013,"alabama","speakers",790
"57","Telugu",2013,"alabama","speakers",1130
"58","Kannada",2013,"alabama","speakers",185
"59","Malayalam",2013,"alabama","speakers",365
