"","Langs","speakers","State","year"
"1","Population",4497352," Alabama","2013"
"2","Only English",4261611," Alabama","2013"
"5","Spanish",151385," Alabama","2013"
"8","French",7195," Alabama","2013"
"9","Patois",140," Alabama","2013"
"10","Cajun",40," Alabama","2013"
"11","French Creole",333," Alabama","2013"
"12","Italian",1672," Alabama","2013"
"14","Portuguese",1375," Alabama","2013"
"16","German",10040," Alabama","2013"
"17","Yiddish",18," Alabama","2013"
"19","Dutch",725," Alabama","2013"
"20","Afrikaans",170," Alabama","2013"
"22","Swedish",125," Alabama","2013"
"23","Danish",45," Alabama","2013"
"24","Norwegian",90," Alabama","2013"
"25","Icelandic",25," Alabama","2013"
"26","Greek",918," Alabama","2013"
"27","Russian",1325," Alabama","2013"
"28","Polish",384," Alabama","2013"
"30","Serbocroatian",170," Alabama","2013"
"31","Croatian",195," Alabama","2013"
"32","Serbian",100," Alabama","2013"
"34","Ukrainian",55," Alabama","2013"
"35","Czech",310," Alabama","2013"
"36","Bulgarian",95," Alabama","2013"
"37","Macedonian",95," Alabama","2013"
"38","Armenian",50," Alabama","2013"
"39","Persian",1010," Alabama","2013"
"40","Hindi",3236," Alabama","2013"
"41","Gujarati",2630," Alabama","2013"
"42","Urdu",1306," Alabama","2013"
"44","India nec3",860," Alabama","2013"
"45","Bengali",895," Alabama","2013"
"46","Panjabi",435," Alabama","2013"
"47","Marathi",190," Alabama","2013"
"48","Kashmiri",115," Alabama","2013"
"49","Nepali",555," Alabama","2013"
"50","Sinhalese",120," Alabama","2013"
"52","Jamaican Creole",65," Alabama","2013"
"53","Romanian",460," Alabama","2013"
"54","Irish Gaelic",90," Alabama","2013"
"55","Albanian",95," Alabama","2013"
"56","Latvian",80," Alabama","2013"
"57","Pashto",45," Alabama","2013"
"60","Chinese",7405," Alabama","2013"
"61","Cantonese",195," Alabama","2013"
"62","Mandarin",1625," Alabama","2013"
"63","Formosan",235," Alabama","2013"
"64","Japanese",1814," Alabama","2013"
"65","Korean",7475," Alabama","2013"
"66","Mon-Khmer, Cambodian",887," Alabama","2013"
"67","Hmong",208," Alabama","2013"
"68","Thai",828," Alabama","2013"
"69","Laotian",935," Alabama","2013"
"70","Vietnamese",6839," Alabama","2013"
"72","Turkish",790," Alabama","2013"
"73","Telugu",1130," Alabama","2013"
"74","Kannada",185," Alabama","2013"
"75","Malayalam",365," Alabama","2013"
"76","Tamil",665," Alabama","2013"
"77","Burmese",220," Alabama","2013"
"78","Mien",55," Alabama","2013"
"79","Tagalog",3115," Alabama","2013"
"81","Indonesian",425," Alabama","2013"
"82","Bisayan",265," Alabama","2013"
"83","Pangasinan",50," Alabama","2013"
"84","Chamorro",70," Alabama","2013"
"85","Marshallese",100," Alabama","2013"
"86","Trukese",15," Alabama","2013"
"87","Samoan",195," Alabama","2013"
"88","Hawaiian",115," Alabama","2013"
"90","Navajo",96," Alabama","2013"
"92","Algonquian",20," Alabama","2013"
"93","Kiowa",65," Alabama","2013"
"94","Choctaw",90," Alabama","2013"
"95","Koasati",25," Alabama","2013"
"96","Cherokee",255," Alabama","2013"
"97","American Indian",70," Alabama","2013"
"98","Hungarian",145," Alabama","2013"
"99","Arabic",4560," Alabama","2013"
"100","Hebrew",410," Alabama","2013"
"102","Amharic",230," Alabama","2013"
"103","Cushite",20," Alabama","2013"
"104","Swahili",1320," Alabama","2013"
"105","Bantu",240," Alabama","2013"
"106","Mande",140," Alabama","2013"
"107","Fulani",120," Alabama","2013"
"108","Kru, Ibo, Yoruba",1210," Alabama","2013"
"109","Efik",30," Alabama","2013"
"111","Finnish",95," Alabama","2013"
"112","Estonian",40," Alabama","2013"
"114","Oto - Manguen",205," Alabama","2013"
"115","Uncodable",80," Alabama","2013"
"13","Population",665954," Alaska","2013"
"210","Only English",557877," Alaska","2013"
"510","Spanish",22425," Alaska","2013"
"810","French",2165," Alaska","2013"
"910","French Creole",120," Alaska","2013"
"1010","Italian",444," Alaska","2013"
"121","Portuguese",270," Alaska","2013"
"141","German",3660," Alaska","2013"
"161","Dutch",205," Alaska","2013"
"171","Afrikaans",45," Alaska","2013"
"191","Swedish",200," Alaska","2013"
"201","Danish",150," Alaska","2013"
"21","Norwegian",365," Alaska","2013"
"221","Greek",140," Alaska","2013"
"231","Russian",4426," Alaska","2013"
"241","Polish",426," Alaska","2013"
"271","Ukrainian",610," Alaska","2013"
"281","Czech",30," Alaska","2013"
"29","Bulgarian",30," Alaska","2013"
"301","Macedonian",215," Alaska","2013"
"311","Armenian",3," Alaska","2013"
"321","Persian",100," Alaska","2013"
"33","Hindi",290," Alaska","2013"
"341","Gujarati",123," Alaska","2013"
"351","Urdu",272," Alaska","2013"
"371","Bengali",110," Alaska","2013"
"381","Panjabi",40," Alaska","2013"
"391","Nepali",300," Alaska","2013"
"401","Sinhalese",25," Alaska","2013"
"421","Jamaican Creole",45," Alaska","2013"
"43","Pidgin",115," Alaska","2013"
"441","Romanian",85," Alaska","2013"
"451","Irish Gaelic",100," Alaska","2013"
"461","Albanian",135," Alaska","2013"
"471","Lithuanian",30," Alaska","2013"
"481","Latvian",50," Alaska","2013"
"51","Chinese",1410," Alaska","2013"
"521","Cantonese",80," Alaska","2013"
"531","Mandarin",135," Alaska","2013"
"541","Japanese",1752," Alaska","2013"
"551","Korean",3937," Alaska","2013"
"561","Mon-Khmer, Cambodian",205," Alaska","2013"
"571","Hmong",3107," Alaska","2013"
"58","Thai",1105," Alaska","2013"
"59","Laotian",1469," Alaska","2013"
"601","Vietnamese",1286," Alaska","2013"
"621","Turkish",125," Alaska","2013"
"631","Telugu",60," Alaska","2013"
"641","Malayalam",30," Alaska","2013"
"651","Tamil",35," Alaska","2013"
"661","Mien",380," Alaska","2013"
"671","Tagalog",14177," Alaska","2013"
"691","Indonesian",65," Alaska","2013"
"701","Malay",55," Alaska","2013"
"71","Bisayan",390," Alaska","2013"
"721","Sebuano",50," Alaska","2013"
"731","Ilocano",980," Alaska","2013"
"741","Bikol",4," Alaska","2013"
"751","Pampangan",215," Alaska","2013"
"761","Micronesian",60," Alaska","2013"
"771","Chamorro",180," Alaska","2013"
"781","Marshallese",10," Alaska","2013"
"791","Palau",135," Alaska","2013"
"80","Trukese",75," Alaska","2013"
"811","Samoan",3555," Alaska","2013"
"821","Tongan",380," Alaska","2013"
"831","Hawaiian",235," Alaska","2013"
"851","Navajo",133," Alaska","2013"
"871","Aleut",620," Alaska","2013"
"881","Pacific Gulf Yupik",70," Alaska","2013"
"89","Eskimo",1160," Alaska","2013"
"901","Inupik",6255," Alaska","2013"
"91","St Lawrence Island Yupik",1030," Alaska","2013"
"921","Yupik",19360," Alaska","2013"
"931","Haida",110," Alaska","2013"
"941","Athapascan",1175," Alaska","2013"
"951","Ahtena",20," Alaska","2013"
"961","Ingalit",4," Alaska","2013"
"971","Koyukon",65," Alaska","2013"
"981","Kuchin",450," Alaska","2013"
"991","Tanaina",60," Alaska","2013"
"1001","Tlingit",1035," Alaska","2013"
"101","Tsimshian",40," Alaska","2013"
"1021","Yuma",15," Alaska","2013"
"1031","Dakota",25," Alaska","2013"
"1041","Cherokee",50," Alaska","2013"
"1051","Hungarian",90," Alaska","2013"
"1061","Arabic",388," Alaska","2013"
"1071","Hebrew",241," Alaska","2013"
"1091","Amharic",180," Alaska","2013"
"110","Cushite",370," Alaska","2013"
"1111","Sudanic",30," Alaska","2013"
"1121","Nilotic",155," Alaska","2013"
"113","Swahili",85," Alaska","2013"
"1141","Fulani",310," Alaska","2013"
"1151","Kru, Ibo, Yoruba",260," Alaska","2013"
"117","Finnish",170," Alaska","2013"
"119","Uncodable",75," Alaska","2013"
"18","Population",6033147," Arizona","2013"
"211","Only English",4416957," Arizona","2013"
"511","Spanish",1230730," Arizona","2013"
"812","French",16480," Arizona","2013"
"911","Patois",30," Arizona","2013"
"1011","French Creole",756," Arizona","2013"
"1110","Italian",7901," Arizona","2013"
"1310","Portuguese",4400," Arizona","2013"
"15","German",23020," Arizona","2013"
"165","Luxembourgian",40," Arizona","2013"
"172","Yiddish",445," Arizona","2013"
"192","Pennsylvania Dutch",45," Arizona","2013"
"202","Dutch",2145," Arizona","2013"
"212","Afrikaans",535," Arizona","2013"
"232","Swedish",1220," Arizona","2013"
"242","Danish",445," Arizona","2013"
"251","Norwegian",865," Arizona","2013"
"261","Icelandic",30," Arizona","2013"
"272","Greek",3043," Arizona","2013"
"282","Russian",6602," Arizona","2013"
"291","Polish",5844," Arizona","2013"
"312","Serbocroatian",4960," Arizona","2013"
"322","Croatian",810," Arizona","2013"
"331","Serbian",2600," Arizona","2013"
"352","Ukrainian",1375," Arizona","2013"
"361","Czech",905," Arizona","2013"
"372","Slovak",520," Arizona","2013"
"382","Bulgarian",1110," Arizona","2013"
"392","Macedonian",115," Arizona","2013"
"402","Slovene",110," Arizona","2013"
"411","Armenian",1385," Arizona","2013"
"422","Persian",6111," Arizona","2013"
"431","Hindi",8474," Arizona","2013"
"442","Gujarati",3824," Arizona","2013"
"452","Urdu",2380," Arizona","2013"
"472","India nec3",455," Arizona","2013"
